Item Name,Proteins,Carbohydrates,Fats,Price
Snapple Raspberry Tea,49,1.5,39.3,105
Cake - Mini Cheesecake,23.5,41.9,48.9,195
"Seedlings - Buckwheat, Organic",24.5,31.5,9.4,75
Sauce - Thousand Island,43.6,29.6,24.5,64
Cream Of Tartar,43.6,16.6,36.5,166
Soup V8 Roasted Red Pepper,17.3,18.3,39.5,103
Bread - Assorted Rolls,17,18.7,14.2,265
Tarts Assorted,6.3,41.2,49.9,137
Lemons,22.3,23.4,44.5,299
Lumpfish Black,8.3,26.2,19.8,80
"Beef - Tongue, Cooked",9.7,43.8,2,266
Lamb - Bones,28.6,23.1,15.6,142
Miso Paste White,31.9,16.7,31.8,145
"Wine - Niagara,vqa Reisling",40.5,44.5,33.9,71
Pastry - Banana Muffin - Mini,4.7,0.8,49,109
"Crab - Dungeness, Whole, live",5.1,33.3,8.7,186
Sea Urchin,21.3,19.6,41.7,207
Sauce - Rosee,14.6,42.1,1,84
Plastic Arrow Stir Stick,24.2,36.5,6.4,124
Sprouts - Alfalfa,36.4,22.8,43.9,50
Mix - Cocktail Ice Cream,38.2,15.2,31.3,185
Dc - Sakura Fu,11.6,48.6,19.8,153
Cake - Bande Of Fruit,16.9,16.8,16.6,264
"Lamb - Leg, Boneless",13.2,33.5,39.7,99
"Wine - Magnotta, White",16.8,1.8,31.6,156
"Bread - Roll, Italian",24.8,32.5,3.3,157
Pasta - Angel Hair,27.2,38.1,12.2,80
Corn Meal,29.4,14.6,46.1,279
Silicone Parch. 16.3x24.3,6.4,17,34.6,67
Pepper - Scotch Bonnet,21.3,2.3,19.4,138
Wine - Muscadet Sur Lie,35,31.9,28,151
Ecolab Crystal Fusion,22.9,10.5,35.6,153
Pastry - Banana Muffin - Mini,32.4,26.1,28.4,164
Fond - Neutral,4.8,21.9,24.5,100
Bag Clear 10 Lb,28.6,49.4,1.7,99
Praline Paste,37.4,11.8,34.7,109
Wine - Fontanafredda Barolo,42.6,41.6,45.5,177
Pastry - Butterscotch Baked,45.5,7.2,38.6,248
"Hickory Smoke, Liquid",19,36.6,37.4,290
Pastry - Cherry Danish - Mini,8.2,24.5,30,213
"Pasta - Gnocchi, Potato",7.3,20.5,33.8,286
Oil - Sesame,13.6,30.5,20.7,223
"Pasta - Lasagna Noodle, Frozen",30.1,23.9,2.7,235
Sauce - Demi Glace,33.9,21.9,10.7,103
"Sauce - Bernaise, Mix",25.4,19.7,10.9,256
Fruit Salad Deluxe,22.4,5.9,4.4,274
Wine - George Duboeuf Rose,22,31.4,21.8,243
Spice - Onion Powder Granulated,4.9,8.6,39.4,297
Fiddlehead - Frozen,30.2,10.9,41.4,120
Spice - Pepper Portions,10.1,40.1,35.2,291
"Rosemary - Primerba, Paste",38.4,25.9,23.1,131
Pancetta,2.8,0.9,31.4,227
Pastry - Mini French Pastries,27,41.5,43.9,97
Gelatine Powder,43.1,36,45.6,125
Cranberry Foccacia,36.7,7.5,25.3,53
Soup - Base Broth Chix,45.8,4.1,15.1,248
Eggplant - Baby,23.1,23,40.4,64
Foam Espresso Cup Plain White,37.4,40.5,46.8,190
Flour - Bread,24.3,2.2,30.5,284
Flower - Leather Leaf Fern,32.8,14,33.7,212
The Pop Shoppe - Black Cherry,4.1,26.8,44.1,95
Wine - Pinot Noir Pond Haddock,41.4,5.7,47.5,253
Potato - Sweet,45.4,37.3,18.9,219
Capers - Pickled,30.9,37.9,0.7,262
Pastry - Baked Cinnamon Stick,47.1,46.7,29.5,167
Schnappes Peppermint - Walker,1.1,49.6,6.1,228
Waffle Stix,8,32.2,14.2,240
Sultanas,5,45.2,12.7,157
Quail - Jumbo,18.3,38.7,15.1,212
Carbonated Water - Blackberry,3.1,35.7,17.4,102
Longos - Chicken Caeser Salad,31.7,28.8,23.8,77
Mousse - Mango,8.6,26.9,0.2,189
Fond - Chocolate,30.7,31.9,42.4,277
Bread - Corn Muffaletta,0.7,15.5,19.1,266
"Napkin - Beverge, White 2 - Ply",42.6,33.6,44,220
"Wine - Red, Harrow Estates, Cab",32.9,33.1,12.4,279
Tuna - Sushi Grade,6,17.6,25.7,93
Wine - Barossa Valley Estate,43.8,5.9,46.5,120
Pears - Bosc,5.3,32.5,28.9,275
Wine - Shiraz Wolf Blass Premium,33.1,7.2,16.4,130
V8 Splash Strawberry Banana,48.1,43.3,34.6,81
Wine - Zinfandel California 2002,4.7,31.1,10.9,131
"Salmon - Atlantic, Skin On",28.2,37.3,48.9,294
Truffle Cups - Brown,30.9,41.8,27.7,91
Mussels - Cultivated,4.8,37.4,33.1,67
Ocean Spray - Kiwi Strawberry,23.2,29.8,6.7,181
Radish - Pickled,11.7,43.4,8.9,139
Crab Brie In Phyllo,43.9,14.1,13.7,218
Triple Sec - Mcguinness,10.4,16.6,7.7,207
"Beans - Black Bean, Preserved",18.4,24.9,47.7,212
Bacardi Breezer - Strawberry,34.9,20.5,37.6,191
Wine - Jafflin Bourgongone,13.2,21.3,44.2,297
"Pepper - White, Whole",37.9,22.3,42.7,131
Rabbit - Whole,33.6,32.5,20.5,147
Bread - Corn Muffaletta,13.4,1.9,34.4,172
Sauce - Oyster,19.7,26.8,11.7,271
Crackers - Melba Toast,18.1,47.1,12.2,280
Coffee - Decafenated,48.7,30.6,39.8,65
Lime Cordial - Roses,6.2,39.4,30.8,249
Wakami Seaweed,1.4,5.5,44.2,171
Bread - Olive,47,43.4,22.8,102
Creme De Menth - White,45.5,27.8,2.1,178
Banana Turning,41.5,39.5,13.3,143
"Crab - Dungeness, Whole",4.8,47.3,12.2,191
Coffee - Irish Cream,12.8,47.8,4.3,264
Sole - Iqf,11.2,27.1,42.5,94
Cinnamon Rolls,7.5,14.8,13.2,219
Beef - Top Butt Aaa,20.2,45.3,16.3,122
Milk - 1%,10.9,26.7,34,131
Mustard Prepared,40.9,22.6,42.8,278
Wine - Chianti Classica Docg,1.2,6.4,28.5,155
Wine - Chablis 2003 Champs,49.7,15.4,35.4,92
"Wine - Red, Gamay Noir",0.5,22.5,35.2,271
Green Tea Refresher,30.8,13.3,5.1,293
Coffee - Decafenated,15.4,27.3,39.6,176
Ezy Change Mophandle,1.8,11.7,31.3,268
Roe - Flying Fish,21.3,21.4,44.4,243
Country Roll,18.5,27.3,11.8,205
Tuna - Salad Premix,13.2,40.8,43.2,179
Gelatine Powder,43.1,32.7,11,222
Skirt - 24 Foot,11.7,21.4,27.8,52
Huck Towels White,21.9,29,14,87
Spinach - Packaged,25.3,28.5,23.1,197
Greens Mustard,47.1,12.5,30.7,77
Cloves - Ground,40,40.5,38.5,137
Melon - Watermelon Yellow,9,31.3,0.1,183
"Mustard - Dry, Powder",8.5,13.5,30.8,233
Wine - Chablis J Moreau Et Fils,49.6,46.3,0.4,189
"Juice - Grapefruit, 341 Ml",28.5,25.9,49,107
Apple - Northern Spy,23.7,20.9,21.4,153
Extract - Rum,2.3,24.9,23.5,90
Kellogs Special K Cereal,7.2,28,6.1,132
Turkey Tenderloin Frozen,13.3,7.5,29.6,206
Miso - Soy Bean Paste,2.4,3.4,23.4,87
Wine - Cotes Du Rhone Parallele,32.6,25,17.7,94
"Melon - Watermelon, Seedless",20.9,23.7,22.8,138
Chocolate Bar - Reese Pieces,28.9,25.2,6.5,130
"Wine - Red, Gallo, Merlot",30.3,17.7,25.4,274
Jolt Cola - Electric Blue,38,14.2,19,60
Lumpfish Black,21.1,30.3,29.4,157
Pastry - Butterscotch Baked,37.1,0.8,47.3,277
"Pasta - Detalini, White, Fresh",3.2,9.6,23.2,299
Oil - Sunflower,35.6,5.8,45.3,229
Beef - Striploin Aa,40,41.2,46.2,81
"Beef - Rib Roast, Capless",32,29.9,25,153
Frangelico,41.4,15.3,19.7,111
Soy Protein,0.4,17.5,30.8,141
Eggs - Extra Large,24.5,39.9,25.5,129
Cinnamon - Ground,39.5,15.1,0.1,275
Pepperoni Slices,30,40.5,38.4,143
Tuna - Salad Premix,19.2,7.3,17.6,244
Cake - Dulce De Leche,13,19.5,28.5,199
Wine - Hardys Bankside Shiraz,14.9,23.4,33.4,237
Cumin - Ground,38.9,6.9,5.1,270
Campari,44.9,20.7,3.5,137
Quinoa,33.3,31.3,45.6,286
Strawberries,47,15.2,20.8,150
Chocolate Bar - Coffee Crisp,35,19,17.2,223
Pastry - Cherry Danish - Mini,12.2,11.1,23.1,173
"Turkey - Breast, Boneless Sk On",11.2,13.4,4,174
Wine - Placido Pinot Grigo,6.8,17.4,0.7,76
Cheese - Montery Jack,36.1,28.3,6.2,215
Ice Cream - Fudge Bars,3.7,27.6,49.4,293
Pepper - Gypsy Pepper,33.6,15.6,4.9,122
Initation Crab Meat,1.9,24.1,43.8,160
Cocoa Powder - Natural,29,43.3,12.3,274
"Coconut - Creamed, Pure",29.1,27.8,19.4,67
"Red Snapper - Fresh, Whole",24.9,36.2,16.6,232
Coffee Caramel Biscotti,19,47.4,2,123
Wine - Puligny Montrachet A.,24.1,41.6,31.6,115
General Purpose Trigger,25.9,39,28.9,62
Butcher Twine 4r,11.5,29,1,281
Duck - Breast,5.5,4.2,22.7,92
Fond - Neutral,14.4,28.1,43.8,297
Potatoes - Parissienne,25.7,26.9,0,159
Creme De Cacao White,1.7,49.2,13.8,282
Trout - Smoked,14.4,36.8,9,274
Coffee Swiss Choc Almond,35.7,39.1,33.9,64
"Lamb - Racks, Frenched",11.2,35.3,22.7,268
Pepperoni Slices,8.6,4.6,26.9,256
Soy Protein,38.8,10.3,29.4,61
Carbonated Water - Cherry,38.7,37.5,44.9,88
Ham Black Forest,42.3,30.8,35,202
Plate Foam Laminated 9in Blk,9.9,46.4,24.4,200
"Cheese - Woolwich Goat, Log",49.5,19.7,2.1,139
Chervil - Fresh,24,28,7,135
Wine - Redchard Merritt,17.9,26.5,23.4,253
Ecolab Crystal Fusion,0.9,16.9,12.9,281
"Crab - Blue, Frozen",38.9,26.7,31.7,112
Kaffir Lime Leaves,14.7,31.3,20.5,205
"Pasta - Penne, Lisce, Dry",38.5,26.5,44.3,171
Urban Zen Drinks,43,34.9,28.3,162
Chinese Foods - Plain Fried Rice,47.1,39.5,12.4,274
Salt - Seasoned,10.8,33.8,1.4,208
